name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,4,10,43,1,"Jump Shot","2PT Field Goal",3,"New York Knicks",0,36,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-02,2016,6472,1610612738,400899447,1,6,46,1,"Jump Shot","2PT Field Goal",19,"Sacramento Kings",51,193,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,1,4,43,0,"Jump Shot","3PT Field Goal",26,"Detroit Pistons",78,254,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,2,9,14,0,"Jump Shot","3PT Field Goal",24,"New York Knicks",-81,228,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-20,2016,6472,1610612738,400899866,2,2,35,1,"Jump Shot","2PT Field Goal",17,"Memphis Grizzlies",-29,169,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,2,10,12,1,"Jump Shot","2PT Field Goal",13,"New York Knicks",-125,62,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,2,7,52,0,"Jump Shot","3PT Field Goal",24,"New York Knicks",243,-26,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-16,2016,6472,1610612738,400899611,4,11,14,0,"Jump Shot","3PT Field Goal",25,"Dallas Mavericks",-127,223,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,3,10,16,0,"Jump Shot","3PT Field Goal",25,"New York Knicks",-237,90,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-05,2016,6472,1610612738,400900324,4,8,15,1,"Jump Shot","3PT Field Goal",24,"Phoenix Suns",-17,247,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-05,2016,6472,1610612738,400900324,1,5,33,0,"Jump Shot","2PT Field Goal",6,"Phoenix Suns",-40,56,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-21,2016,6472,1610612738,400899655,2,4,11,1,"Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",155,190,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-05,2016,6472,1610612738,400900324,3,11,31,0,"Jump Shot","3PT Field Goal",24,"Phoenix Suns",173,174,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-05,2016,6472,1610612738,400900324,2,6,26,0,"Jump Shot","2PT Field Goal",7,"Phoenix Suns",-58,41,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-05,2016,6472,1610612738,400900324,3,6,32,0,"Jump Shot","3PT Field Goal",25,"Phoenix Suns",199,154,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-05,2016,6472,1610612738,400900324,1,4,03,0,"Jump Shot","3PT Field Goal",24,"Phoenix Suns",-204,141,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-05,2016,6472,1610612738,400900324,4,6,31,0,"Jump Shot","3PT Field Goal",24,"Phoenix Suns",46,244,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-05,2016,6472,1610612738,400900324,1,5,28,0,"Jump Shot","2PT Field Goal",21,"Phoenix Suns",215,23,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-21,2016,6472,1610612738,400899655,3,10,46,0,"Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",-91,232,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-21,2016,6472,1610612738,400899655,4,4,16,0,"Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",-88,242,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,3,8,02,1,"Jump Shot","3PT Field Goal",24,"New York Knicks",117,218,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-20,2016,6472,1610612738,400899866,1,8,07,1,"Jump Shot","2PT Field Goal",20,"Memphis Grizzlies",171,115,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,3,5,39,0,"Jump Shot","3PT Field Goal",24,"New York Knicks",-148,200,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,4,7,11,0,"Jump Shot","3PT Field Goal",25,"New York Knicks",199,154,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,4,8,30,0,"Jump Shot","2PT Field Goal",11,"New York Knicks",81,82,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-12-25,2016,6472,1610612738,400899898,1,8,10,1,"Jump Shot","3PT Field Goal",23,"New York Knicks",235,-24,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-01-27,2016,6472,1610612738,400900118,2,6,03,0,"Jump Shot","3PT Field Goal",26,"Orlando Magic",-150,224,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-25,2016,6472,1610612738,400899675,3,9,22,1,"Jump Shot","3PT Field Goal",25,"San Antonio Spurs",76,242,0,0.00,,0.00,0.00
