name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Stephen Curry","Golden State Warriors",2016-12-15,2016,3975,1610612744,400899830,3,3,51,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",3,"New York Knicks",25,21,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-10-28,2016,3975,1610612744,400899459,3,9,14,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",9,26,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-11-01,2016,3975,1610612744,400899504,2,5,08,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",-22,2,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-12-01,2016,3975,1610612744,400899436,3,5,27,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Houston Rockets",2,7,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-04-04,2016,3975,1610612744,400900540,3,2,04,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",1,26,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-11-19,2016,3975,1610612744,400899641,4,5,36,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Milwaukee Bucks",2,7,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-11-21,2016,3975,1610612744,400899652,3,9,51,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Indiana Pacers",-1,2,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-03-29,2016,3975,1610612744,400900513,2,1,40,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",2,"San Antonio Spurs",28,0,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-11-25,2016,3975,1610612744,400899688,3,10,59,1,"Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",13,6,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-12-28,2016,3975,1610612744,400899927,3,3,54,1,"Cutting Layup Shot","2PT Field Goal",1,"Toronto Raptors",-9,8,0,0.00,,0.00,0.00
